(1)838|(1)838|[]
(1)911|(1)911|[]
(1)912|(1)912|[]
(1)921|(1)921|[]
(1)924|(1)924|[]
(1)926|(1)926|[]
(1)927|(1)927|[]
(1)930|(1)930|[]
(1)931|(1)931|[]
(1)932|(1)932|[]
(1)935|(1)935|[]
(1)937|(1)937|[]
(1)938|(1)938|[]
(15)80|(15)80|[https://dbpedia.org/page/1st_century]
(16)98|(16)98|[https://dbpedia.org/page/1st_century]
(17)70|(17)70|[https://dbpedia.org/page/1st_century]
(1789 - 1797)|(1789 - 1797)|[https://dbpedia.org/page/18th_century]
(18)96|(18)96|[https://dbpedia.org/page/1st_century]
(1871 - 1956)|(1871 - 1956)|[https://dbpedia.org/page/19th_century, https://dbpedia.org/page/20th_century]
(19) 14|(19) 14|[https://dbpedia.org/page/1st_century]
(19)08|(19)08|[https://dbpedia.org/page/1st_century]
(19)27|(19)27|[https://dbpedia.org/page/1st_century]
(19)28|(19)28|[https://dbpedia.org/page/1st_century]
(19)38|(19)38|[https://dbpedia.org/page/1st_century]
(19)45|(19)45|[https://dbpedia.org/page/1st_century]
(fals după) 1906|(fals dupa) 1906|[https://dbpedia.org/page/20th_century]
(sec. xviii ?)|(sec. xviii ?)|[https://dbpedia.org/page/18th_century]
-|-|[]
1/4 sec. ii p.chr.|1/4 sec. ii __AD__|[https://dbpedia.org/page/2nd_century]
1/4 sec. iii p.chr.|1/4 sec. iii __AD__|[https://dbpedia.org/page/3rd_century]
1/4 sec. iv|1/4 sec. iv|[https://dbpedia.org/page/4th_century]
1/4 sec. v p.chr.|1/4 sec. v __AD__|[https://dbpedia.org/page/5th_century]
1/4 sec. xiii|1/4 sec. xiii|[https://dbpedia.org/page/13th_century]
1/4 sec. xix|1/4 sec. xix|[https://dbpedia.org/page/19th_century]
1/4 sec. xviii|1/4 sec. xviii|[https://dbpedia.org/page/18th_century]
1/4 sec. xvii|1/4 sec. xvii|[https://dbpedia.org/page/17th_century]
1/4 sec. xvi|1/4 sec. xvi|[https://dbpedia.org/page/16th_century]
1/4 sec. xv|1/4 sec. xv|[https://dbpedia.org/page/15th_century]
1/4 sec. xx (1917)|1/4 sec. xx (1917)|[https://dbpedia.org/page/20th_century]
1/4 sec. xx. primul sfert al sec. al xx-lea.|1/4 sec. xx. primul sfert al sec. al xx-lea.|[https://dbpedia.org/page/20th_century]
1/4 sec. xx. primul sfert al sec. al xx/lea.|1/4 sec. xx. primul sfert al sec. al xx/lea.|[https://dbpedia.org/page/20th_century]
1/4 sec. xx. începutul sec.al xx-lea.|1/4 sec. xx. inceputul sec.al xx-lea.|[https://dbpedia.org/page/20th_century]
1/4 sec. xx.|1/4 sec. xx.|[https://dbpedia.org/page/20th_century]
